GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
1600000US2642780,2642780,"Kent City village, Michigan",0.3975,0.0360
1600000US2642820,2642820,"Kentwood city, Michigan",0.4245,0.0195
1600000US2643220,2643220,"Kinde village, Michigan",0.3779,0.0544
1600000US2643300,2643300,"Kingsford city, Michigan",0.4287,0.0304
1600000US2643340,2643340,"Kingsley village, Michigan",0.4120,0.0469
1600000US2643380,2643380,"Kingston village, Michigan",0.4843,0.1136
1600000US2643558,2643558,"K. I. Sawyer CDP, Michigan",0.4190,0.0341
1600000US2644200,2644200,"Laingsburg city, Michigan",0.3631,0.0826
1600000US2644440,2644440,"Lake Angelus city, Michigan",0.5077,0.0590
1600000US2644460,2644460,"Lake Ann village, Michigan",0.3966,0.0615
1600000US2644480,2644480,"Lake City city, Michigan",0.4243,0.0436
1600000US2644520,2644520,"Lake Fenton CDP, Michigan",0.4501,0.0493
1600000US2644715,2644715,"Lake Isabella village, Michigan",0.3726,0.0411
1600000US2644760,2644760,"Lake Leelanau CDP, Michigan",0.2754,0.0862
1600000US2644780,2644780,"Lake Linden village, Michigan",0.4731,0.1057
1600000US2644820,2644820,"Lake Michigan Beach CDP, Michigan",0.4525,0.0622
1600000US2644880,2644880,"Lake Odessa village, Michigan",0.3727,0.0323
1600000US2644940,2644940,"Lake Orion village, Michigan",0.4167,0.0419
1600000US2645144,2645144,"Lakes of the North CDP, Michigan",0.3072,0.0566
1600000US2645190,2645190,"Lake Victoria CDP, Michigan",0.3649,0.0759
1600000US2645240,2645240,"Lakeview village, Michigan",0.4859,0.0443
1600000US2645340,2645340,"Lakewood Club village, Michigan",0.3261,0.0394
1600000US2645420,2645420,"Lambertville CDP, Michigan",0.4250,0.0437
1600000US2645540,2645540,"L'Anse village, Michigan",0.4068,0.0511
1600000US2646000,2646000,"Lansing city, Michigan",0.4353,0.0122
1600000US2646040,2646040,"Lapeer city, Michigan",0.4488,0.0273
1600000US2646320,2646320,"Lathrup Village city, Michigan",0.3103,0.0335
1600000US2646360,2646360,"Laurium village, Michigan",0.4247,0.0440
1600000US2646440,2646440,"Lawrence village, Michigan",0.4773,0.0524
